date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
08.8.2019,"30,00",,,"30,00","0,00",0,0,RZEK
07.8.2019,"30,00",,,"30,00","0,00",0,0,RZEK
06.8.2019,"30,00",,,"30,00","0,00",0,0,RZEK
05.8.2019,"30,00",,,"30,00","0,00",0,0,RZEK
01.8.2019,"30,00",,,"30,00","0,00",0,0,RZEK
31.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
30.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
29.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
26.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
25.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
24.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
23.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
22.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
19.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
18.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
17.7.2019,"30,00","30,00","30,00","30,00","0,00",100,3.000,RZEK
16.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
15.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
12.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
11.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
10.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
09.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
08.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
05.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
04.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
03.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
02.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
01.7.2019,"30,00",,,"30,00","0,00",0,0,RZEK
28.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
27.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
26.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
25.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
24.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
21.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
20.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
19.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
18.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
17.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
13.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
12.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
11.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
10.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
07.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
06.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
05.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
03.6.2019,"30,00",,,"30,00","0,00",0,0,RZEK
31.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
30.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
29.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
28.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
27.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
23.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
22.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
21.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
20.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
17.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
16.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
15.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
14.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
13.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
10.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
09.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
08.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
07.5.2019,"30,00","30,00","30,00","30,00","0,00",12,360,RZEK
06.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
03.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
02.5.2019,"30,00",,,"30,00","0,00",0,0,RZEK
30.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
25.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
24.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
23.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
22.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
19.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
18.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
17.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
16.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
15.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
12.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
11.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
10.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
09.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
08.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
05.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
04.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
03.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
02.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
01.4.2019,"30,00",,,"30,00","0,00",0,0,RZEK
29.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
28.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
27.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
26.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
25.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
22.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
21.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
20.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
19.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
18.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
15.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
14.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
13.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
12.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
11.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
08.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
07.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
06.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
05.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
04.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
01.3.2019,"30,00",,,"30,00","0,00",0,0,RZEK
28.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
27.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
26.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
25.2.2019,"30,00","30,00","30,00","30,00","0,00",33,990,RZEK
22.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
21.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
20.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
19.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
18.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
15.2.2019,"30,00","30,00","30,00","30,00","0,00",28,840,RZEK
14.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
13.2.2019,"30,00","30,00","30,00","30,00","0,00",25,750,RZEK
12.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
11.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
08.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
07.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
06.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
05.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
04.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
01.2.2019,"30,00",,,"30,00","0,00",0,0,RZEK
31.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
30.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
29.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
28.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
25.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
24.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
23.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
22.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
21.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
18.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
17.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
16.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
15.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
14.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
11.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
10.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
09.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
08.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
04.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
03.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
02.1.2019,"30,00",,,"30,00","0,00",0,0,RZEK
28.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.12.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
28.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.11.2018,"30,00","30,00","30,00","30,00","0,00",1.554,46.620,RZEK
21.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.11.2018,"30,00","30,00","30,00","30,00","0,00",9,270,RZEK
05.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
01.11.2018,"30,00",,,"30,00","0,00",0,0,RZEK
31.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
01.10.2018,"30,00",,,"30,00","0,00",0,0,RZEK
28.9.2018,"30,00","30,00","30,00","30,00","0,00",1.236,37.080,RZEK
27.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.9.2018,"30,00",,,"30,00","0,00",0,0,RZEK
31.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.8.2018,"30,00","30,00","30,00","30,00","0,00",25,750,RZEK
16.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
01.8.2018,"30,00",,,"30,00","0,00",0,0,RZEK
31.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.7.2018,"30,00","30,00","30,00","30,00","0,00",25,750,RZEK
03.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.7.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
28.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.6.2018,"30,00","30,00","30,00","30,00","0,00",41,1.230,RZEK
07.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.6.2018,"30,00","30,00","30,00","30,00","0,00",157,4.710,RZEK
04.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
01.6.2018,"30,00",,,"30,00","0,00",0,0,RZEK
31.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.5.2018,"30,00","30,00","30,00","30,00","0,00",100,3.000,RZEK
28.5.2018,"30,00","30,00","30,00","30,00","0,00",200,6.000,RZEK
23.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.5.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.4.2018,"30,00","30,00","30,00","30,00","0,00",21,630,RZEK
16.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.4.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
28.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
01.3.2018,"30,00",,,"30,00","0,00",0,0,RZEK
28.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
27.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
21.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
20.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
19.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
14.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
13.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.2.2018,"30,00","30,00","30,00","30,00","0,00",20,600,RZEK
09.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
08.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
07.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
06.2.2018,"30,00","30,00","30,00","30,00","0,00",24,720,RZEK
05.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
01.2.2018,"30,00",,,"30,00","0,00",0,0,RZEK
31.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
30.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
29.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
26.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
25.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
24.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
23.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
22.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
18.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
17.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
16.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
15.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
12.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
11.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
10.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
09.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
05.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
04.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
03.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
02.1.2018,"30,00",,,"30,00","0,00",0,0,RZEK
28.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
27.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
26.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
25.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
22.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
21.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
20.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
19.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
18.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
15.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
14.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
13.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
12.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
11.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
07.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
06.12.2017,"30,00","30,00","30,00","30,00","0,00",3.932,117.960,RZEK
05.12.2017,"30,00","30,00","30,00","30,00","0,00",5.000,150.000,RZEK
04.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
01.12.2017,"30,00",,,"30,00","0,00",0,0,RZEK
30.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
29.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
28.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
27.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
24.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
23.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
22.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
21.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
20.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
17.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
16.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
15.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
14.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
13.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
10.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
09.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
08.11.2017,"30,00",,,"30,00","0,00",0,0,RZEK
